address,lat,lng,district,publand,robbery,urban_proj,monitor,idle,school,park,mrt,rob,output,STD_publand,STD_robbery,STD_urban_proj,STD_monitor ,STD_idle,DistanceType1_School,DistanceType1_Park,DistanceType1_MRT,DistanceType1_ROB,DistanceType2_School,DistanceType2_Park,DistanceType2_MRT,DistanceType2_ROB,MonitorType1,MonitorType2,Feature1 ,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8
臺北市松山區新東里18鄰塔悠路351號,25.062201,121.568715,松山區,4973385.2,0,928.78,1129,97.8,0.1311379499,0.03102929975,1.063482434,1.8327016,1,-0.8441668902,-1.221288317,-0.8880101126,-0.6689577645,-0.7392958165,1,1,1,1,1,1,0,0,0,0,0.004327436316,6,2,1.225649683,0.001623296369,4405.124181,22.14221702,0
臺北市中山區新生里13鄰新生北路二段155號,25.062221,121.527959,中山區,7723327.91,4,1368.209961,1440,1361.68,0.1475888865,0.1807515528,0.1088209527,0.2576691956,1,-0.6023202204,0.4750828678,-0.6887602858,0.301165061,2.590661443,1,1,1,1,1,1,1,1,0,1,0.002903007895,8,3,0.08743227841,0.0001789369414,5363.42216,17.73615688,1
臺北市文山區老泉里7鄰老泉街43之1號,24.979112,121.566612,文山區,15745617.73,1,3150.9,1350,943.56,0.3990678552,0.3007102947,1.33345587,3.605619764,1,0.1032086876,-0.797195521,0.1195612057,0.02042212114,1.489036503,0,1,1,0,0,0,0,0,0,1,0.160019788,2,0,1.01661701,0.002670829455,11663.42054,24.27161609,0
臺北市文山區木柵里28鄰木柵路三段48巷3弄18號,24.987504,121.564809,文山區,15745617.73,1,3150.9,1350,943.56,0.08664956718,0.08920106592,1.045323803,2.91641848,1,0.1032086876,-0.797195521,0.1195612057,0.02042212114,1.489036503,1,1,1,0,1,1,0,0,0,1,0.008079552023,5,2,0.6105872181,0.002160309985,11663.42054,24.27161609,0
臺北市中山區松江里23鄰建國北路二段264號,25.06209,121.536652,中山區,7723327.91,4,1368.209961,1440,1361.68,0.2343853351,0.1847984322,0.4917697306,0.2664521788,1,-0.6023202204,0.4750828678,-0.6887602858,0.301165061,2.590661443,1,1,1,1,0,1,1,1,0,1,0.02130053499,7,2,0.1821906996,0.0001850362353,5363.42216,17.73615688,0
臺北市松山區復源里11鄰八德路三段130號,25.04803,121.554331,松山區,4973385.2,0,928.78,1129,97.8,0.09571594415,0.1063970269,0.3633508481,2.607347283,1,-0.8441668902,-1.221288317,-0.8880101126,-0.6689577645,-0.7392958165,1,1,1,1,1,1,1,0,0,0,0.003700325752,7,3,0.5654638191,0.00230943072,4405.124181,22.14221702,1
臺北市北投區一德里21鄰中央北路四段597號,25.124396,121.465186,北投區,32634930.67,3,5682.16,1300,379.25,0.2118763648,0.07305761638,0.2486661867,0.5330831051,1,1.588557482,0.05099007151,1.267305241,-0.1355461788,0.002243309576,1,1,1,1,1,1,1,1,0,0,0.003849149206,8,3,0.133400042,0.000410063927,25103.79282,25.87690477,1
臺北市松山區莊敬里28鄰濱江街358號,25.071968,121.550113,松山區,4973385.2,0,928.78,1129,97.8,0.4463214029,0.5327025037,0.6141343831,1.805644675,1,-0.8441668902,-1.221288317,-0.8880101126,-0.6689577645,-0.7392958165,0,0,1,1,0,0,1,0,0,0,0.1460144591,3,1,1.59315829,0.001599330979,4405.124181,22.14221702,1
臺北市內湖區樂康里24鄰康樂街164之1號,25.073231,121.619407,內湖區,11254761.59,1,3157.87,1370,0,0.06694659134,0.1356752166,1.147226087,0.1209310345,1,-0.2917444865,-0.797195521,0.1227215985,0.0828094411,-0.9969704533,1,1,1,1,1,1,0,1,0,1,0.01042024685,7,2,0.6749239477,0.00008827082809,8215.154445,24.29395488,0
臺北市大同區鄰江里3鄰酒泉街260號,25.072071,121.509364,大同區,2253601.36,6,568.15,868,0,0.3914243562,0.3500452004,0.7483588049,0.5420918203,1,-1.083361206,1.32326846,-1.051529835,-1.48311229,-0.9969704533,1,1,1,1,0,0,0,1,0,0,0.1025372926,5,0,0.2128326231,0.0006245297469,2596.314931,20.97042557,0
