address,lat,lng,district,publand,robbery,urban_proj,monitor,idle,school,park,mrt,rob,output,STD_publand,STD_robbery,STD_urban_proj,STD_monitor ,STD_idle,DistanceType1_School,DistanceType1_Park,DistanceType1_MRT,DistanceType1_ROB,DistanceType2_School,DistanceType2_Park,DistanceType2_MRT,DistanceType2_ROB,MonitorType1,MonitorType2,Feature1 ,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8
臺北市文山區萬美里24鄰萬寧街129號,25.003557,121.569674,文山區,15745617.73,1,3150.9,1350,943.56,0.3153175493,0.009245423102,0.4305299532,3.045497517,1,0.2787452743,-0.7249929629,0.2725638943,0.02687335442,1.271016089,1,1,1,0,0,1,1,0,0,1,0.00125509993,5,2,0.3775464628,0.002255924086,11663.42054,24.27161609,0
臺北市信義區富臺里6鄰忠孝東路五段295巷6弄6號,25.041779,121.572792,信義區,5953425.42,1,1120.77,1012,282.6,0,0.07806397304,0.3046015422,0.4729246904,1,-0.6671252528,-0.7249929629,-0.7151224271,-1.038851249,-0.2558296939,1,1,1,1,1,1,1,1,0,0,0,8,3,0.1913327576,0.0004673168877,5882.831443,22.33069826,1
臺北市中山區正義里17鄰新生北路一段172號,25.051848,121.527454,中山區,7723327.91,4,1368.209961,1440,1361.68,0.4033810764,0.2046358705,0.5491569743,0.5584774592,1,-0.4961626585,0.4880151909,-0.594739464,0.3106461778,2.236891117,1,1,1,1,0,1,1,1,0,1,0.04533084215,7,2,0.2314347842,0.0003878315689,5363.42216,17.73615688,0
臺北市文山區明興里10鄰興隆路四段89號,24.988952,121.560239,文山區,15745617.73,1,3150.9,1350,943.56,0.1323882766,0.1339905761,0.8855596839,2.323780843,1,0.2787452743,-0.7249929629,0.2725638943,0.02687335442,1.271016089,1,1,1,1,1,1,0,0,0,1,0.01570874969,6,2,0.5759692683,0.001721319143,11663.42054,24.27161609,0
臺北市士林區天福里8鄰忠誠路二段130巷34號,25.114723,121.53079,士林區,28233710.05,2,6236.82,1480,457.06,0.1905452511,0.2287481722,1.573253009,2.628192558,1,1.485024531,-0.3206569116,1.773906652,0.4367674326,0.1471803449,1,1,0,1,1,0,0,0,0,1,0.06857318684,4,1,0.6641821442,0.001775805782,19076.83111,25.81814465,0
臺北市萬華區糖?里3鄰大理街159巷11號,25.034661,121.495977,萬華區,3740889.23,9,885.22,1009,0,0.07940341714,0.1530268325,0.4430247603,0.2184684919,1,-0.880843765,2.509695447,-0.8297207598,-1.048310343,-0.9086477437,1,1,1,1,1,1,1,1,0,0,0.00538312892,8,3,0.06754550099,0.0002165198135,3707.521536,21.9206701,1
臺北市萬華區糖?里3鄰大理街159巷11號,25.034661,121.495977,萬華區,3740889.23,9,885.22,1009,0,0.07940341714,0.1530268325,0.4430247603,0.2184684919,1,-0.880843765,2.509695447,-0.8297207598,-1.048310343,-0.9086477437,1,1,1,1,1,1,1,1,0,0,0.00538312892,8,3,0.06754550099,0.0002165198135,3707.521536,21.9206701,1
臺北市中山區新庄里13鄰吉林路490號,25.068131,121.530327,中山區,7723327.91,4,1368.209961,1440,1361.68,0.1647951974,0.04498887613,0.6863193392,0.4953554932,1,-0.4961626585,0.4880151909,-0.594739464,0.3106461778,2.236891117,1,1,1,1,1,1,0,1,0,1,0.005088337761,7,2,0.1792206825,0.0003439968703,5363.42216,17.73615688,0
臺北市信義區五常里9鄰永吉路225巷32弄31號,25.04709,121.572974,信義區,5953425.42,1,1120.77,1012,282.6,0.2023117389,0.1550756065,0.543153361,0.4790634836,1,-0.6671252528,-0.7249929629,-0.7151224271,-1.038851249,-0.2558296939,1,1,1,1,1,1,1,1,0,0,0.01704068476,8,3,0.4502703532,0.0004733828889,5882.831443,22.33069826,1
臺北市士林區明勝里7鄰通河街112號,25.081399,121.519294,士林區,28233710.05,2,6236.82,1480,457.06,0.04615013732,0.08680858023,0.6501123883,0.7361829034,1,1.485024531,-0.3206569116,1.773906652,0.4367674326,0.1471803449,1,1,1,1,1,1,1,1,0,1,0.002604498387,8,3,0.2610237019,0.0004974208807,19076.83111,25.81814465,1
