address,lat,lng,district,publand,robbery,urban_proj,monitor,idle,school,park,mrt,rob,output,STD_publand,STD_robbery,STD_urban_proj,STD_monitor ,STD_idle,DistanceType1_School,DistanceType1_Park,DistanceType1_MRT,DistanceType1_ROB,DistanceType2_School,DistanceType2_Park,DistanceType2_MRT,DistanceType2_ROB,MonitorType1,MonitorType2,Feature1 ,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8
臺北市中山區正義里13鄰林森北路133巷72弄4號,25.050477,121.527413,中山區,7723327.91,4,1368.209961,1440,1361.68,0.3497562965,0.1890566434,0.619704579,0.6336581791,1,-0.5514583321,0.4160574372,-0.6359520676,0.3222122379,2.652278271,1,1,1,1,0,1,1,1,0,1,0.04097719155,7,2,0.2317035038,0.0004400404022,5363.42216,17.73615688,0
臺北市士林區忠誠里10鄰德行東路90巷27弄14號,25.106363,121.528654,士林區,28233710.05,2,6236.82,1480,457.06,0.2043932168,0.06525814575,0.8493693423,1.904269969,1,1.266076146,-0.395076763,1.580101693,0.4444610739,0.2503050575,1,1,1,1,1,1,0,0,0,1,0.01132916207,6,2,0.3730069016,0.001286668898,19076.83111,25.81814465,0
臺北市大安區義村里19鄰仁愛路三段129號,25.038288,121.542345,大安區,7146045.27,1,1136.14,1851,139.95,0.04358768255,0.1228490071,0.2929413586,1.343836535,1,-0.6026144293,-0.8006438631,-0.7415837583,1.578319028,-0.5916945953,1,1,1,1,1,1,1,1,1,1,0.001568614124,8,3,0.2296890241,0.0007260056918,3860.64034,22.68600766,1
臺北市中正區文北里6鄰杭州南路一段99號,25.038682,121.525409,中正區,4852832.46,4,760.71,1869,368.2,0.1301361895,0.4995475206,0.3896953178,0.8149906718,1,-0.8058282611,0.4160574372,-0.9124688892,1.633331004,0.01436141284,1,0,1,1,1,0,1,1,1,1,0.02533378507,6,2,0.2038758056,0.0004360570743,2596.486067,21.36763512,1
臺北市萬華區糖?里6鄰大理街185號,25.034002,121.494095,萬華區,3740889.23,9,885.22,1009,0,0.193842516,0.05638584504,0.6906496863,0.4660933275,1,-0.904363488,2.443892938,-0.8557954543,-0.9950189702,-0.963293887,1,1,1,1,1,1,0,1,0,0,0.007548783164,7,2,0.09408780474,0.0004619359043,3707.521536,21.9206701,0
臺北市文山區景華里2鄰羅斯福路六段217號,24.995877,121.541363,文山區,15745617.73,1,3150.9,1350,943.56,0.1045397962,0.127333611,0.1805153434,0.5042221715,1,0.1594396043,-0.8006438631,0.1754780805,0.04715235683,1.542073942,1,1,1,1,1,1,1,1,0,1,0.002402917311,8,3,0.2061943753,0.0003734979048,11663.42054,24.27161609,1
臺北市內湖區安泰里4鄰安泰街45巷22號,25.074338,121.618504,內湖區,11254761.59,1,3157.87,1370,0,0.1550089771,0.02931960155,1.11131862,0.2300848145,1,-0.2385191374,-0.8006438631,0.1786506277,0.1082767748,-0.963293887,1,1,1,1,1,1,0,1,0,1,0.00505072247,7,2,0.6478235993,0.0001679451201,8215.154445,24.29395488,0
臺北市大同區大有里14鄰歸綏街301號,25.058198,121.508874,大同區,2253601.36,6,568.15,868,0,0.04285076931,0.04742800472,0.5973573336,0.3927968014,1,-1.036160008,1.227191637,-1.000116762,-1.425946117,-0.963293887,1,1,1,1,1,1,1,1,0,0,0.001214025133,8,3,0.09823372967,0.0004525308772,2596.314931,20.97042557,1
臺北市大同區民權里1鄰重慶北路二段263號,25.06276,121.513747,大同區,2253601.36,6,568.15,868,0,0.06532008792,0.1578750466,0.07968236732,0.1017613119,1,-1.036160008,1.227191637,-1.000116762,-1.425946117,-0.963293887,1,1,1,1,1,1,1,1,0,0,0.0008217173949,8,3,0.04326821455,0.0001172365345,2596.314931,20.97042557,1
臺北市北投區福興里2鄰石牌路一段90號,25.113828,121.51209,北投區,32634930.67,3,5682.16,1300,379.25,0.1466262038,0.2965642286,0.4112431567,1.249570823,1,1.656091805,0.01049033709,1.327636129,-0.1056586882,0.04370169275,1,1,1,1,1,0,1,1,0,0,0.01788253321,7,2,0.2136083973,0.000961208325,25103.79282,25.87690477,0
臺北市中山區圓山里8鄰林森北路673號,25.068172,121.525895,中山區,7723327.91,4,1368.209961,1440,1361.68,0.352581469,0.2589677193,0.3323566065,0,1,-0.5514583321,0.4160574372,-0.6359520676,0.3222122379,2.652278271,1,1,1,1,0,0,1,1,0,1,0.03034655742,6,1,0.188781159,0,5363.42216,17.73615688,0
臺北市北投區福興里15鄰自強街79號,25.110688,121.514505,北投區,32634930.67,3,5682.16,1300,379.25,0.1085152563,0.09482263628,0.3251919301,1.499491565,1,1.656091805,0.01049033709,1.327636129,-0.1056586882,0.04370169275,1,1,1,1,1,1,1,0,0,0,0.003346128274,7,3,0.1321324557,0.00115345505,25103.79282,25.87690477,1
臺北市中正區建國里4鄰重慶南路一段126巷1號,25.037243,121.511854,中正區,4852832.46,4,760.71,1869,368.2,0.06320317804,0.330251325,0.16164313,0.8032558952,1,-0.8058282611,0.4160574372,-0.9124688892,1.633331004,0.01436141284,1,1,1,1,1,0,1,1,1,1,0.003373966268,7,2,0.1110195266,0.0004297784351,2596.486067,21.36763512,0
臺北市北投區福興里12鄰自強街31巷31號,25.111291,121.512493,北投區,32634930.67,3,5682.16,1300,379.25,0.2972475512,0.2749907088,0.5139146949,1.441897515,1,1.656091805,0.01049033709,1.327636129,-0.1056586882,0.04370169275,1,1,1,1,0,0,1,0,0,0,0.04200754895,5,1,0.2715382387,0.001109151934,25103.79282,25.87690477,0
臺北市士林區社新里14鄰社子街125巷38號,25.088809,121.506398,士林區,28233710.05,2,6236.82,1480,457.06,0.1079891407,0.1319899807,1.917705525,1.592140318,1,1.266076146,-0.395076763,1.580101693,0.4444610739,0.2503050575,1,1,0,1,1,1,0,0,0,1,0.02733398616,5,2,0.7192282155,0.001075770485,19076.83111,25.81814465,1
臺北市萬華區忠德里11鄰德昌街130號,25.02428,121.496644,萬華區,3740889.23,9,885.22,1009,0,0.1112298235,0.1346054832,0.972094724,0.7475384875,1,-0.904363488,2.443892938,-0.8557954543,-0.9950189702,-0.963293887,1,1,1,1,1,1,0,1,0,0,0.01455434233,7,2,0.1217930031,0.0007408706517,3707.521536,21.9206701,0
臺北市中正區永功里3鄰中華路二段503號,25.024249,121.512195,中正區,4852832.46,4,760.71,1869,368.2,0.1391002433,0.3641659091,0.7204866506,0.6849240194,1,-0.8058282611,0.4160574372,-0.9124688892,1.633331004,0.01436141284,1,1,1,1,1,0,0,1,1,1,0.03649665949,6,1,0.2447505606,0.0003664655,2596.486067,21.36763512,0
臺北市大同區星明里7鄰平陽街46號,25.055409,121.515266,大同區,2253601.36,6,568.15,868,0,0.05113022836,0.2619786647,0.5658863891,0.6398686601,1,-1.036160008,1.227191637,-1.000116762,-1.425946117,-0.963293887,1,1,1,1,1,0,1,1,0,0,0.007580064565,7,2,0.1255707546,0.0007371758756,2596.314931,20.97042557,0
臺北市松山區新聚里2鄰東興路33號,25.048527,121.565843,松山區,4973385.2,0,928.78,1129,97.8,0.2392448725,0.316391192,0.3019069129,1.355880735,1,-0.7951454391,-1.206210963,-0.8359681728,-0.6282724622,-0.7036124956,1,1,1,1,0,0,1,1,0,0,0.02285283483,6,1,0.8575429774,0.00120095725,4405.124181,22.14221702,0
臺北市內湖區週美里5鄰新明路351巷4號,25.055896,121.583196,內湖區,11254761.59,1,3157.87,1370,0,0.4070747722,0.157943302,0.6302417607,1.506655625,1,-0.2385191374,-0.8006438631,0.1786506277,0.1082767748,-0.963293887,0,1,1,1,0,1,1,0,0,1,0.04052122617,5,2,0.5976299175,0.001099748631,8215.154445,24.29395488,1
臺北市大安區學府里5鄰基隆路四段43號,25.013743,121.540623,大安區,7146045.27,1,1136.14,1851,139.95,0,0.1534672333,0.7132085143,1.048598051,1,-0.6026144293,-0.8006438631,-0.7415837583,1.578319028,-0.5916945953,1,1,1,1,1,1,0,1,1,1,0,7,2,0.4333378738,0.0005665035393,3860.64034,22.68600766,0
臺北市文山區明義里21鄰興隆路四段105巷60號,24.987418,121.561989,文山區,15745617.73,1,3150.9,1350,943.56,0.07442996659,0.1499685601,1.16955157,2.607745591,1,0.1594396043,-0.8006438631,0.1754780805,0.04715235683,1.542073942,1,1,1,0,1,1,0,0,0,1,0.01305471581,5,2,0.6969750483,0.0019316634,11663.42054,24.27161609,0
臺北市內湖區葫洲里12鄰康寧路三段54巷18號,25.071247,121.608725,內湖區,11254761.59,1,3157.87,1370,0,0.0395377333,0.1712831655,0.1565053585,1.182916037,1,-0.2385191374,-0.8006438631,0.1786506277,0.1082767748,-0.963293887,1,1,1,1,1,1,1,1,0,1,0.001059877469,8,3,0.1836631287,0.0008634423625,8215.154445,24.29395488,1
臺北市北投區尊賢里12鄰實踐街51號,25.115317,121.509625,北投區,32634930.67,3,5682.16,1300,379.25,0.03425480593,0.142450306,0.6047865719,0.8887999946,1,1.656091805,0.01049033709,1.327636129,-0.1056586882,0.04370169275,1,1,1,1,1,1,1,1,0,0,0.002951121145,8,3,0.195372921,0.0006836923036,25103.79282,25.87690477,1
臺北市大安區仁愛里2鄰復興南路一段177巷2號,25.040811,121.544017,大安區,7146045.27,1,1136.14,1851,139.95,0.2605880803,0.247880157,0.0739113915,1.676632863,1,-0.6026144293,-0.8006438631,-0.7415837583,1.578319028,-0.5916945953,1,1,1,1,0,0,1,0,1,1,0.004774277823,5,1,0.2911898144,0.0009057984134,3860.64034,22.68600766,0
