pm_name,lng,lat,pm_location
七虎公園,121.50205994,25.136499405,育仁路108號（薇閣小學旁）
七星公園,121.50302124,25.136619568,光明路、中山路交叉口（新北投捷運站）
大豐公園,121.50373077,25.131940842,公館路13號旁
中央公園,121.49992371,25.128099442,大興街與中央南路二段6巷口
中庸公園,121.50124359,25.138040543,位於北投區中庸里雙全街50號對面
丹鳳公園,121.5109787,25.126480103,公館路255巷19弄旁
公館公園,121.50643158,25.127990723000003,奇岩新社區(公三)
天狗庵遺址,121.50666809,25.135929108000003,溫泉路73巷(天狗庵舊址)
文化3號公園,121.49471283,25.137699127,中央北路二段68巷進入(42巷11弄旁)
文化公園(一),121.4965,25.1365,位於北投區文化里中央北路二段文化國小對面
文化公園(二),121.49684143,25.13643074,位於北投區文化里中央北路一段228巷
北投204號環保公園(八仙公園),121.50308,25.12041,承德路七段與公館路交會
北投258號承德4號綠地,121.51245,25.1019,承德路六段與福國路交叉口，北投士林科技園區(綠4，區段徵收)
北投公園,121.50473022,25.13656044,北投區中山路、光明路所圍範圍
北投社三層崎公園,124.491156,25.14574,北投區秀山路50號旁
石牌公園,121.51036072,25.116359711,石牌路一段39巷內
立農公園,121.50350952,25.118789673,承德路七段378號
吉利公園,121.50836945,25.119010925,位於北投區立農里吉利街179號旁
同德公園,121.52944946,25.125070572,位於北投區永欣里同德街27巷19號對面
地熱谷公園,121.5109787,25.137559891,臺北市北投區中山路30-1號(中山路與溫泉路交口)
行義公園,121.52523041,25.125389099,石牌路二段343巷8號
奇岩一號公園,121.50375366,25.127080917,臺北市北投區磺港路208號(奇岩新社區公一)
奇岩二號公園,121.50369263,25.126499176,臺北市北投區216號(奇岩新社區公二)
奇岩三號公園,121.50521851,25.125980377,奇岩新社區(公四)
東華公園,121.50707245,25.121839523,東華街二段300巷19號對面
林泉公園,121.51482,25.14133,溫泉路168號旁
知行公園,121.46665192,25.119729996,位於北投區關渡里知行路225巷
長安公園,121.50016022,25.135559082,育仁路109號對面(薇閣國小旁)
長安公園,121.50183868,25.136140823,位於北投區長安里育仁路109號對面
前山公園,121.54844369998614,25.15057652403493,臺北市北投區建國街4號旁及紗帽路117號對面
建民公園,121.52036285,25.105640411,文林北路16巷7號對面
泉源47號公園,121.5124588,25.14209938,泉源路80號對面山腳下
泉源48號公園,121.50715637,25.141939163000004,北投珠海路120號附近
洲美蜆仔港公園,121.51118635,25.100997114,台北市士林區承德路六段329號
致遠公園,121.5150528,25.111270905,位於北投區榮光里致遠一路二段自強市場旁
重三公園,121.48928833,25.140159607,新興路與重三路交叉口(重三新村八期重劃)政校後勤區
振華公園,121.51885223,25.115169525,位於北投區振華里振華街24號對面
振興公園,121.52304077,25.118219376,天母西路與磺溪交叉口
桂花公園,121.51022339,25.137910843,中山路5-7號(林泉里辦公處旁)
桃源公園,121.48275757,25.138069153000004,中央北路三段148巷
健行公園,121.50882721,25.121210098,位於北投區東華里致遠三路147巷二弄內
崇仰公園,121.51106,25.12609,崇仰一路、公館路225巷底
清江一公園,121.50247955,25.123910904,位於北投區清江里崇仁路一段154號對面
清江二公園,121.50189209,25.123680115,位於北投區清江里崇仁路1段154號旁
軟橋公園,121.51761299999998,25.103102,台北市北投區文林北路53巷51號
復興公園,121.50322723,25.139690399000003,北投中和街200號
開明公園,121.50531769,25.141130447,珠海路112號附近
陽明公園,121.53901115595212,25.1590167546868,臺北市北投區湖山路二段
新興公園,121.48703,25.13934,新興路145號旁(六期重劃)
溫泉綠地,121.512342,25.138933,溫泉路137號旁
聖景一公園,121.46351,25.12045,聖景路100號內
聖景二公園,121.46381,25.12038,聖景路101號旁
