id,school name,Address,Response_Address,lng,lat
1,國立政治大學,臺北市文山區指南路二段64號,臺北市文山區萬興里9鄰指南路二段64號,121.576504,24.987418
2,國立臺灣大學,臺北市大安區羅斯福路四段1號,臺北市大安區學府里17鄰羅斯福路四段1號,121.5337,25.016981
3,國立臺灣師範大學,臺北市大安區和平東路一段162號,臺北市大安區古莊里2鄰和平東路一段162號,121.52757,25.026454
4,國立臺北大學,新北市三峽區大學路151號,新北市三峽區龍恩里23鄰大學路151號,121.373159,24.945134
5,國立臺灣科技大學,臺北市大安區基隆路四段43號,臺北市大安區學府里5鄰基隆路四段43號,121.540623,25.013743
6,國立臺北科技大學,臺北市大安區忠孝東路三段1號,臺北市大安區民輝里16鄰忠孝東路三段1號,121.535515,25.042214
7,國立臺北藝術大學,臺北市北投區學園路1號,臺北市北投區一德里14鄰學園路1號,121.46619,25.129937
8,國立臺灣藝術大學,新北市板橋區大觀路一段59號,新北市板橋區浮洲里15鄰大觀路一段59號,121.447569,25.005889
9,國立臺北教育大學,臺北市大安區和平東路二段134號,臺北市大安區臥龍里1鄰和平東路二段134號,121.544709,25.024605
10,國立臺北護理健康大學,臺北市北投區明德路365號,臺北市北投區振華里11鄰明德路365號,121.521347,25.117549
11,國立臺北商業大學,臺北市中正區濟南路一段321號,臺北市中正區幸福里8鄰濟南路一段321號,121.525532,25.041947
12,輔仁大學,新北市新莊區中正路510號,新北市新莊區營盤里19鄰中正路510號,121.434105,25.032937
13,東吳大學,臺北市士林區臨溪路70號,臺北市士林區福林里1鄰臨溪路70號,121.545751,25.094446
14,淡江大學,新北市淡水區英專路151號,新北市淡水區中興里6鄰英專路151號,121.447098,25.173829
15,中國文化大學,臺北市士林區華岡路55號,臺北市士林區陽明里15鄰華岡路55號,121.540405,25.137521
16,華梵大學,新北市石碇區華梵路1號,新北市石碇區豐田里4鄰華梵路1號,121.692105,24.980018
17,世新大學,臺北市文山區木柵路一段17巷1號,臺北市文山區試院里16鄰木柵路一段17巷1號,121.544099,24.988624
18,銘傳大學,臺北市士林區中山北路五段250號,臺北市士林區福林里10鄰中山北路五段250號,121.52701,25.087198
19,實踐大學,臺北市中山區大直街70號,臺北市中山區大直里35鄰大直街70號,121.546234,25.083587
20,真理大學,新北市淡水區真理街32號,新北市淡水區文化里12鄰真理街32號,121.434601,25.175557
21,大同大學,臺北市中山區中山北路三段40號,臺北市中山區集英里24鄰中山北路三段40號,121.52221,25.066839
22,臺北醫學大學,臺北市信義區吳興街250號,臺北市信義區雙和里21鄰吳興街250號,121.56271,25.02662
23,明志科技大學,新北市泰山區貴子里工專路84號,新北市泰山區貴子里9鄰工專路84號,121.422252,25.040593
24,聖約翰科技大學,新北市淡水區淡金路四段499號,新北市淡水區賢孝里4鄰淡金路四段499號,121.451673,25.226984
25,中國科技大學,臺北市文山區興隆路三段56號,臺北市文山區興得里9鄰興隆路三段56號,121.555404,24.999264
26,景文科技大學,新北市新店區安忠路99號,新北市新店區公崙里37鄰安忠路99號,121.509274,24.951988
27,東南科技大學,新北市深坑區北深路三段152號,新北市深坑區萬福里4鄰北深路三段152號,121.604744,25.004432
28,德明財經科技大學,臺北市內湖區環山路一段56號,臺北市內湖區西安里11鄰環山路一段56號,121.565625,25.086493
29,中華科技大學,臺北市南港區研究院路三段245號,臺北市南港區九如里10鄰研究院路三段245號,121.609915,25.033594
30,臺北城市科技大學,臺北市北投區學園路2號,臺北市北投區一德里14鄰學園路2號,121.467658,25.132802
31,醒吾科技大學,新北市林口區粉寮路一段101號,新北市林口區東林里18鄰粉寮路一段101號,121.396671,25.080756
32,華夏科技大學,新北市中和區工專路111號,新北市中和區華新里44鄰工專路111號,121.507733,24.980585
33,致理科技大學,新北市板橋區文化路一段313號,新北市板橋區忠誠里1鄰文化路一段313號,121.465198,25.021011
34,康寧大學,臺北市內湖區康寧路三段75巷137號,臺北市內湖區金湖里18鄰康寧路三段75巷137號,121.61006,25.075185
35,宏國德霖科技大學,新北市土城區青雲路380巷1號,新北市土城區清化里1鄰青雲路380巷1號,121.456438,24.973527
36,台北海洋科技大學,新北市淡水區濱海路三段150號,新北市淡水區沙崙里8鄰濱海路三段150號,121.425856,25.192174
37,亞東科技大學,新北市板橋區四川路二段58號,新北市板橋區華東里18鄰四川路二段58號,121.453102,24.995173
38,臺北市立大學,臺北市中正區愛國西路1號,臺北市中正區建國里4鄰愛國西路1號,121.51358,25.035558
39,國立臺灣戲曲學院,臺北市內湖區內湖路二段177號,臺北市內湖區湖濱里9鄰內湖路二段177號,121.586589,25.081468
40,黎明技術學院,新北市泰山區泰林路三段22號,新北市泰山區黎明里3鄰泰林路三段22號,121.419616,25.065895
41,馬偕醫學院,新北市三芝區中正路三段46號,新北市三芝區古庄里1鄰中正路三段46號,121.496695,25.252917
42,法鼓文理學院,新北市金山區西湖里法鼓路700號,新北市金山區西湖里4鄰法鼓路700號,121.616828,25.24538
43,馬偕醫護管理專科學校,臺北市北投區聖景路92號,臺北市北投區關渡里1鄰聖景路92號,121.46456,25.121946
44,耕莘健康管理專科學校,新北市新店區民族路112號,新北市新店區百和里14鄰民族路112號,121.53548,24.976146
45,私立育才國小,新北市永和區福和路125巷20號,新北市永和區永貞里2鄰福和路125巷20號,121.521642,25.007061
46,私立聖心國小,新北市八里區龍米路一段261號,新北市八里區龍源里19鄰龍米路一段261號,121.450368,25.134217
47,私立及人國小,新北市永和區文化路172號,新北市永和區新?里6鄰文化路172號,121.512035,25.015664
48,私立竹林國小,新北市永和區竹林路34號,新北市永和區勵行里16鄰竹林路34號,121.517309,25.014492
