id	案類	發生日期	發生時段	Address	Response_Address	Response_X	Response_Y
1	自行車竊盜	1040101	16~18	臺北市大安區住安里四維路124巷1~30號	臺北市大安區住安里17鄰四維路124巷30號	121.547079	25.031682
2	自行車竊盜	1040104	08~10	臺北市大安區敦煌里仁愛路4段266巷1~30號	臺北市大安區敦煌里17鄰仁愛路四段266巷12號	121.552831	25.03685
3	自行車竊盜	1040106	14~16	臺北市萬華區國興路1~30號	臺北市萬華區新和里29鄰國興路104號	121.505405	25.027434
4	自行車竊盜	1040108	08~10	臺北市北投區清江里三合街2段481~510號	臺北市北投區清江里24鄰三合街二段489號	121.500981	25.126138
5	自行車竊盜	1040108	16~18	臺北市松山區延壽街391~420號	臺北市松山區龍田里10鄰延壽街440號	121.555758	25.056145
6	自行車竊盜	1040109	06~08	臺北市南港區三重里南港路1段(南港展覽館5號	臺北市南港區三重里15鄰南港路一段4之1號	121.619828	25.054863
7	自行車竊盜	1040109	14~16	臺北市北投區大同里光明路1~30號	臺北市北投區大同里7鄰光明路71號	121.500201	25.133012
8	自行車竊盜	1040109	14~16	臺北市內湖區金湖里康寧路3段31~60號	臺北市內湖區金湖里20鄰康寧路三段71號	121.608698	25.072189
9	自行車竊盜	1040110	04~06	臺北市內湖區康寧路3段31~60號	臺北市內湖區五分里20鄰康寧路三段269號	121.611232	25.066286
10	自行車竊盜	1040110	12~14	臺北市松山區三民路121~150號	臺北市松山區富錦里21鄰三民路170號	121.56328	25.062163
11	自行車竊盜	1040110	16~18	臺北市萬華區西昌街29巷1~30號	臺北市萬華區菜園里4鄰西昌街29巷27號	121.501425	25.04277
12	自行車竊盜	1040111	06~08	臺北市南港區東明里東明街61~90號	臺北市南港區東明里4鄰東明街120號	121.600646	25.054469
13	自行車竊盜	1040111	06~08	臺北市南港區東明里東明街61~90號	臺北市南港區東明里4鄰東明街120號	121.600646	25.054469
14	自行車竊盜	1040111	06~08	臺北市南港區東明里東明街61~90號	臺北市南港區東明里4鄰東明街120號	121.600646	25.054469
15	自行車竊盜	1040111	06~08	臺北市南港區東明里東明街61~90號	臺北市南港區東明里4鄰東明街120號	121.600646	25.054469
16	自行車竊盜	1040111	06~08	臺北市南港區東明里東明街61~90號	臺北市南港區東明里4鄰東明街120號	121.600646	25.054469
17	自行車竊盜	1040111	08~10	臺北市萬華區萬大路387巷1~30號	臺北市萬華區壽德里9鄰萬大路387巷55號	121.499996	25.021439
18	自行車竊盜	1040111	14~16	臺北市北投區大同里光明路1~30號	臺北市北投區大同里7鄰光明路71號	121.500201	25.133012
19	自行車竊盜	1040113	10~12	臺北市中正區忠孝東路1段31~60號	臺北市中正區幸福里7鄰忠孝東路一段178號	121.526484	25.043847
20	自行車竊盜	1040115	06~08	臺北市信義區中行里福德街221巷4弄1~30號	臺北市信義區中行里14鄰福德街221巷3弄4號	121.585215	25.038097
21	自行車竊盜	1040116	06~08	臺北市松山區撫遠街361~390號	臺北市松山區莊敬里28鄰撫遠街453號	121.564429	25.070785
22	自行車竊盜	1040117	16~18	臺北市大安區仁慈里仁愛路4段1~30號	臺北市大安區仁慈里16鄰仁愛路四段10號	121.545302	25.03754
23	自行車竊盜	1040118	08~10	臺北市萬華區西園路2段91~120號	臺北市萬華區和德里25鄰西園路二段394號	121.490924	25.02475
24	自行車竊盜	1040119	08~10	臺北市信義區大道里忠孝東路5段781~810號	臺北市信義區大道里4鄰忠孝東路五段800號	121.582085	25.043807
25	自行車竊盜	1040120	10~12	臺北市信義區西村里松壽路1~30號	臺北市信義區西村里8鄰松壽路36號	121.568033	25.03538
26	自行車竊盜	1040121	10~12	臺北市內湖區南湖里東湖捷運站	臺北市內湖區南湖里5鄰康寧路三段72之1號	121.611328	25.070164
27	自行車竊盜	1040121	12~14	臺北市內湖區港墘里內湖路1段661~690號	臺北市內湖區港墘里1鄰內湖路一段608號	121.578434	25.078544
