id	案類	發生日期	發生時段	Address	Response_Address	Response_X	Response_Y
1	住宅竊盜	1040101	00~02	臺北市文山區萬美里萬寧街1~30號	臺北市文山區萬美里24鄰萬寧街129號	121.569674	25.003557
2	住宅竊盜	1040101	00~02	臺北市信義區富台里忠孝東路5段295巷6弄1~30號	臺北市信義區富臺里6鄰忠孝東路五段295巷6弄6號	121.572792	25.041779
3	住宅竊盜	1040101	06~08	臺北市中山區新生北路1段91~120號	臺北市中山區正義里17鄰新生北路一段172號	121.527454	25.051848
4	住宅竊盜	1040101	10~12	臺北市文山區明興里興隆路4段1~30號	臺北市文山區明興里10鄰興隆路四段89號	121.560239	24.988952
5	住宅竊盜	1040102	00~02	臺北市士林區天福里1鄰忠誠路2段130巷1~30號	臺北市士林區天福里8鄰忠誠路二段130巷34號	121.53079	25.114723
6	住宅竊盜	1040102	06~08	臺北市萬華區糖?里大理街159巷1~30號	臺北市萬華區糖?里3鄰大理街159巷11號	121.495977	25.034661
7	住宅竊盜	1040102	06~08	臺北市萬華區糖?里大理街159巷1~30號	臺北市萬華區糖?里3鄰大理街159巷11號	121.495977	25.034661
8	住宅竊盜	1040102	10~12	臺北市中山區吉林路121~150號	臺北市中山區新庄里13鄰吉林路490號	121.530327	25.068131
9	住宅竊盜	1040104	10~12	臺北市信義區五常里永吉路225巷32弄1~30號	臺北市信義區五常里9鄰永吉路225巷32弄31號	121.572974	25.04709
10	住宅竊盜	1040104	12~14	臺北市士林區明勝里通河街31~60號	臺北市士林區明勝里7鄰通河街112號	121.519294	25.081399
11	住宅竊盜	1040105	00~02	臺北市中山區南京東路3段181~210號	臺北市中山區復華里11鄰南京東路三段225號	121.543673	25.052049
12	住宅竊盜	1040105	04~06	臺北市萬華區大理街159巷1~30號	臺北市萬華區糖?里3鄰大理街159巷11號	121.495977	25.034661
13	住宅竊盜	1040105	04~06	臺北市萬華區糖?里大理街159巷1~30號	臺北市萬華區糖?里3鄰大理街159巷11號	121.495977	25.034661
14	住宅竊盜	1040105	12~14	臺北市北投區吉慶里實踐街56巷1~30號	臺北市北投區吉慶里8鄰實踐街56巷16號	121.509727	25.114187
15	住宅竊盜	1040105	16~18	臺北市中正區忠勤里中華路2段311巷1~30號	臺北市中正區忠勤里15鄰中華路二段311巷52號	121.506947	25.029131
16	住宅竊盜	1040105	18~20	臺北市文山區興福里12鄰景華街61~90號	臺北市文山區興福里7鄰景華街179號	121.547408	24.998895
17	住宅竊盜	1040106	04~06	臺北市信義區雅祥里基隆路1段1~30號	臺北市信義區雅祥里7鄰基隆路一段91號	121.567689	25.046061
18	住宅竊盜	1040106	16~18	臺北市中正區水源里汀州路3段91~120號	臺北市中正區水源里5鄰汀州路三段305號	121.535988	25.011676
19	住宅竊盜	1040107	16~18	臺北市文山區萬芳里萬芳路31~60號	臺北市文山區萬芳里4鄰萬芳路58號	121.570683	24.997855
20	住宅竊盜	1040108	08~10	臺北市文山區萬美里萬美街1段61~90號	臺北市文山區萬美里3鄰萬美街一段123之1號	121.562451	25.001483
21	住宅竊盜	1040109	10~12	臺北市內湖區港華里港華街1~30號	臺北市內湖區港華里24鄰港華街129號	121.57256	25.083901
22	住宅竊盜	1040109	12~14	臺北市中山區樂群二路91~120號	臺北市中山區金泰里14鄰樂群二路309號	121.561955	25.080421
23	住宅竊盜	1040109	16~18	臺北市松山區民權東路3段106巷1~30號	臺北市松山區民有里5鄰民權東路三段106巷38號	121.544751	25.059519
